segment_id,wellbore_chev_no_id,area_id,formation_id,bit_model_id,drillbit_size,min_depth,max_depth,surface_weight_on_bit,surface_rpm
wellbore_chev_no_14_702,wellbore_chev_no_14,area_1,formation_159,bit_model_10,18.125,21060,21089.5,24.33369083,160.737705
wellbore_chev_no_14_703,wellbore_chev_no_14,area_1,formation_159,bit_model_10,18.125,21090,21119.5,24.21353642,160.7486331
wellbore_chev_no_14_704,wellbore_chev_no_14,area_1,formation_159,bit_model_10,18.125,21120,21149.5,19.98717489,160.721303
wellbore_chev_no_14_705,wellbore_chev_no_14,area_1,formation_160,bit_model_10,18.125,21150,21179.5,25.4399848,160.7404348
wellbore_chev_no_14_706,wellbore_chev_no_14,area_1,formation_160,bit_model_10,18.125,21180,21209.5,23.26605075,160.3825091
wellbore_chev_no_14_707,wellbore_chev_no_14,area_1,formation_160,bit_model_10,18.125,21210,21239.5,20.57443612,160.726771
wellbore_chev_no_14_708,wellbore_chev_no_14,area_1,formation_157,bit_model_10,18.125,21240,21269.5,18.15021788,156.2656275
wellbore_chev_no_14_709,wellbore_chev_no_14,area_1,formation_157,bit_model_10,18.125,21270,21299.5,14.49648635,160.7213048
wellbore_chev_no_14_710,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21300,21329.5,20.00877924,160.7376996
wellbore_chev_no_14_711,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21330,21359.5,27.58824828,160.7431681
wellbore_chev_no_14_712,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21360,21389.5,28.90946503,160.7213013
wellbore_chev_no_14_713,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21390,21419.5,21.89932337,160.7322365
wellbore_chev_no_14_714,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21420,21449.5,21.76960942,160.7322365
wellbore_chev_no_14_715,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21450,21479.5,25.02126547,160.7486348
wellbore_chev_no_14_716,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21480,21509.5,30.31912355,160.740433
wellbore_chev_no_14_717,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21510,21539.5,23.36953494,160.7377014
wellbore_chev_no_14_718,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21540,21569.5,25.26070426,160.7568296
wellbore_chev_no_14_719,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21570,21599.5,26.46568629,160.7322329
wellbore_chev_no_14_720,wellbore_chev_no_14,area_1,formation_158,bit_model_10,18.125,21600,21629.5,28.6285737,160.7131154
wellbore_chev_no_14_721,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21630,21659.5,22.36574103,160.7295067
wellbore_chev_no_14_722,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21660,21689.5,20.03873212,160.7458964
wellbore_chev_no_14_723,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21690,21719.5,18.15689869,160.721303
wellbore_chev_no_14_724,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21720,21749.5,19.69512842,160.7458997
wellbore_chev_no_14_725,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21750,21779.5,19.08970642,160.8251315
wellbore_chev_no_14_726,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21780,21809.5,27.90342827,160.7568349
wellbore_chev_no_14_727,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21810,21839.5,33.86686141,160.7486331
wellbore_chev_no_14_728,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21840,21869.5,33.85267696,160.754098
wellbore_chev_no_14_729,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21870,21899.5,30.20690726,159.2294999
wellbore_chev_no_14_730,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21900,21929.5,26.36128387,160.7213013
wellbore_chev_no_14_731,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21930,21959.5,26.07356784,160.7732175
wellbore_chev_no_14_732,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21960,21989.5,14.04753446,160.7263975
wellbore_chev_no_14_733,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,21990,22019.5,12.42332438,160.730754
wellbore_chev_no_14_734,wellbore_chev_no_14,area_1,formation_135,bit_model_10,18.125,22020,22049.5,26.17886498,160.4400311
wellbore_chev_no_14_735,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22050,22079.5,40.13742905,155.6748611
wellbore_chev_no_14_736,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22080,22109.5,49.15024497,133.4808773
wellbore_chev_no_14_737,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22110,22139.5,38.64613949,152.7704913
wellbore_chev_no_14_738,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22140,22169.5,31.29168231,160.7295085
wellbore_chev_no_14_739,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22170,22199.5,29.1870176,160.3524529
wellbore_chev_no_14_740,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22200,22229.5,28.39422871,160.5601044
wellbore_chev_no_14_741,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22230,22259.5,28.29066283,160.3688548
wellbore_chev_no_14_742,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22260,22289.5,27.77074327,160.7349698
wellbore_chev_no_14_743,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22290,22319.5,28.30148773,160.7404366
wellbore_chev_no_14_744,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22320,22349.5,30.7782115,160.7431699
wellbore_chev_no_14_745,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22350,22379.5,33.76431611,160.7240362
wellbore_chev_no_14_746,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22380,22409.5,29.29574407,160.1147497
wellbore_chev_no_14_747,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22410,22439.5,34.54237305,159.9207647
wellbore_chev_no_14_748,wellbore_chev_no_14,area_1,formation_132,bit_model_10,18.125,22440,22469.5,33.94600321,158.9972618
wellbore_chev_no_14_749,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22470,22499.5,38.48073057,160.6420733
wellbore_chev_no_14_750,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22500,22529.5,31.27839575,158.9344326
wellbore_chev_no_14_751,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22530,22559.5,26.14174786,157.9726799
wellbore_chev_no_14_752,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22560,22589.5,25.22027775,160.0901616
wellbore_chev_no_14_753,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22590,22619.5,29.17510802,160.7568296
wellbore_chev_no_14_754,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22620,22649.5,32.08260889,160.2923411
wellbore_chev_no_14_755,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22650,22679.5,33.43504016,159.7021843
wellbore_chev_no_14_756,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22680,22709.5,35.95664895,160.0355184
wellbore_chev_no_14_757,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22710,22739.5,42.92435621,159.4180247
wellbore_chev_no_14_758,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22740,22769.5,42.51778138,160.0819661
wellbore_chev_no_14_759,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22770,22799.5,33.94421453,155.3989065
wellbore_chev_no_14_760,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22800,22829.5,20.79078655,160.7267736
wellbore_chev_no_14_761,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22830,22859.5,22.44519135,160.7513593
wellbore_chev_no_14_762,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22860,22889.5,22.17186651,160.7295064
wellbore_chev_no_14_763,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22890,22919.5,20.75745133,160.6092827
wellbore_chev_no_14_764,wellbore_chev_no_14,area_1,formation_134,bit_model_10,18.125,22920,22949.5,34.61762692,159.1557391
wellbore_chev_no_14_765,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,22950,22979.5,40.5619421,155.8442655
wellbore_chev_no_14_766,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,22980,23009.5,40.10070286,158.5027397
wellbore_chev_no_14_767,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23010,23039.5,38.28880498,153.8852539
wellbore_chev_no_14_768,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23040,23069.5,22.00701501,156.5191205
wellbore_chev_no_14_769,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23070,23099.5,16.00296097,158.9617546
wellbore_chev_no_14_770,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23100,23129.5,21.37113902,160.6311432
wellbore_chev_no_14_771,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23130,23159.5,30.01049178,160.7486348
wellbore_chev_no_14_772,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23160,23189.5,29.656775,159.3278712
wellbore_chev_no_14_773,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23190,23219.5,25.91858006,160.7486371
wellbore_chev_no_14_774,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23220,23249.5,28.71283096,160.7404332
wellbore_chev_no_14_775,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23250,23279.5,23.04054828,160.4426203
wellbore_chev_no_14_776,wellbore_chev_no_14,area_1,formation_137,bit_model_10,18.125,23280,23309.5,23.0572319,160.6967153
wellbore_chev_no_14_777,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23310,23339.5,32.47388579,160.740447
wellbore_chev_no_14_778,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23340,23369.5,36.74395008,160.7294996
wellbore_chev_no_14_779,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23370,23399.5,30.94358997,160.617481
wellbore_chev_no_14_780,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23400,23429.5,29.5670598,160.5409846
wellbore_chev_no_14_781,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23430,23459.5,24.86103354,160.3988996
wellbore_chev_no_14_782,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23460,23489.5,22.78418929,160.4890658
wellbore_chev_no_14_783,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23490,23519.5,25.40953954,160.7349625
wellbore_chev_no_14_784,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23520,23549.5,27.13748287,160.7267749
wellbore_chev_no_14_785,wellbore_chev_no_14,area_1,formation_138,bit_model_10,18.125,23550,23579.5,25.39101416,160.7213099
wellbore_chev_no_14_786,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23580,23609.5,42.02416417,144.3661161
wellbore_chev_no_14_787,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23610,23639.5,33.80431131,156.1092861
wellbore_chev_no_14_788,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23640,23669.5,30.08138905,160.6092796
wellbore_chev_no_14_789,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23670,23699.5,31.03369176,160.6803248
wellbore_chev_no_14_790,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23700,23729.5,30.65075324,160.0928947
wellbore_chev_no_14_791,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23730,23759.5,39.83891293,151.9617485
wellbore_chev_no_14_792,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23760,23789.5,34.76674585,172.1475315
wellbore_chev_no_14_793,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23790,23819.5,34.70573839,177.1721181
wellbore_chev_no_14_794,wellbore_chev_no_14,area_1,formation_139,bit_model_10,18.125,23820,23849.5,30.65610323,169.5136477
wellbore_chev_no_14_795,wellbore_chev_no_14,area_1,formation_140,bit_model_10,18.125,23850,23879.5,46.75398658,175.6447965
wellbore_chev_no_14_796,wellbore_chev_no_14,area_1,formation_140,bit_model_10,18.125,23880,23909.5,47.69889456,174.655747
wellbore_chev_no_14_797,wellbore_chev_no_14,area_1,formation_140,bit_model_10,18.125,23910,23939.5,39.93808746,178.0792419
wellbore_chev_no_14_798,wellbore_chev_no_14,area_1,formation_141,bit_model_10,18.125,23940,23969.5,35.40700537,161.2786882
wellbore_chev_no_14_799,wellbore_chev_no_14,area_1,formation_141,bit_model_10,18.125,23970,23999.5,36.51117261,167.043705
wellbore_chev_no_14_800,wellbore_chev_no_14,area_1,formation_141,bit_model_10,18.125,24000,24029.5,36.42508163,177.846979
wellbore_chev_no_14_801,wellbore_chev_no_14,area_1,formation_141,bit_model_10,18.125,24030,24059.5,52.15418015,175.7458895
wellbore_chev_no_14_802,wellbore_chev_no_14,area_1,formation_141,bit_model_32,14.5,24060,24089.5,38.69015836,125.40674
wellbore_chev_no_14_803,wellbore_chev_no_14,area_1,formation_142,bit_model_32,14.5,24090,24119.5,39.43722514,82.32900264
wellbore_chev_no_14_804,wellbore_chev_no_14,area_1,formation_142,bit_model_32,14.5,24120,24149.5,34.92099311,96.90711149
wellbore_chev_no_14_805,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24150,24179.5,42.43257109,139.9098579
wellbore_chev_no_14_806,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24180,24209.5,42.32845316,149.0464559
wellbore_chev_no_14_807,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24210,24239.5,32.7827431,157.7295059
wellbore_chev_no_14_808,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24240,24269.5,31.11612899,160.7076548
wellbore_chev_no_14_809,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24270,24299.5,31.50281601,160.726768
wellbore_chev_no_14_810,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24300,24329.5,30.93826418,160.715848
wellbore_chev_no_14_811,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24330,24359.5,28.46322225,160.8278699
wellbore_chev_no_14_812,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24360,24389.5,26.81473691,159.6448217
wellbore_chev_no_14_813,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24390,24419.5,30.48902359,159.3306178
wellbore_chev_no_14_814,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24420,24449.5,30.61334769,158.7513667
wellbore_chev_no_14_815,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24450,24479.5,28.60859009,158.9972687
wellbore_chev_no_14_816,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24480,24509.5,26.59380072,160.0737719
wellbore_chev_no_14_817,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24510,24539.5,29.01545749,160.7477717
wellbore_chev_no_14_818,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24540,24569.5,29.5128485,160.7377014
wellbore_chev_no_14_819,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24570,24599.5,24.01682656,159.1330804
wellbore_chev_no_14_820,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24600,24629.5,22.34877494,160.3087423
wellbore_chev_no_14_821,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24630,24659.5,25.64502837,159.0355184
wellbore_chev_no_14_822,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24660,24689.5,26.97017217,159.2664681
wellbore_chev_no_14_823,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24690,24719.5,25.10902628,159.2497918
wellbore_chev_no_14_824,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24720,24749.5,24.59787941,159.2775869
wellbore_chev_no_14_825,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24751.5,24779.5,19.5070716,160.7611212
wellbore_chev_no_14_826,wellbore_chev_no_14,area_1,formation_218,bit_model_32,14.5,24780,24809.5,31.44074259,160.72404
wellbore_chev_no_14_827,wellbore_chev_no_14,area_1,formation_136,bit_model_32,14.5,24810,24839.5,21.13850247,160.6967181
wellbore_chev_no_14_828,wellbore_chev_no_14,area_1,formation_116,bit_model_32,14.5,24840,24869.5,22.26625535,160.740433
wellbore_chev_no_14_829,wellbore_chev_no_14,area_1,formation_116,bit_model_32,14.5,24870,24899.5,24.94764255,159.5000008
wellbore_chev_no_14_830,wellbore_chev_no_14,area_1,formation_116,bit_model_32,14.5,24900,24929.5,27.82268011,159.2509918
wellbore_chev_no_14_831,wellbore_chev_no_14,area_1,formation_116,bit_model_32,14.5,24930,24959.5,33.27951978,159.1775968
wellbore_chev_no_14_832,wellbore_chev_no_14,area_1,formation_116,bit_model_32,14.5,24960,24989.5,33.8811362,159.1886612
wellbore_chev_no_14_833,wellbore_chev_no_14,area_1,formation_116,bit_model_32,14.5,24990,25019.5,27.06976412,153.7054686
wellbore_chev_no_14_834,wellbore_chev_no_14,area_1,formation_33,bit_model_32,14.5,25020,25049.5,15.00520199,160.8333104
wellbore_chev_no_14_835,wellbore_chev_no_14,area_1,formation_33,bit_model_32,14.5,25050,25079.5,12.33035738,162.0655474
wellbore_chev_no_14_836,wellbore_chev_no_14,area_1,formation_33,bit_model_32,14.5,25080,25109.5,12.38717501,162.0518855
wellbore_chev_no_14_837,wellbore_chev_no_14,area_1,formation_33,bit_model_32,14.5,25110,25139.5,14.05809477,161.6311246
wellbore_chev_no_14_838,wellbore_chev_no_14,area_1,formation_33,bit_model_32,14.5,25140,25169.5,27.12676865,160.7513697
wellbore_chev_no_14_839,wellbore_chev_no_14,area_1,formation_33,bit_model_32,14.5,25170,25199.5,28.48112256,160.7458997
wellbore_chev_no_14_840,wellbore_chev_no_14,area_1,formation_33,bit_model_32,14.5,25200,25229.5,29.3071086,160.6223946
wellbore_chev_no_14_841,wellbore_chev_no_14,area_1,formation_125,bit_model_32,14.5,25230,25259.5,31.60625591,160.7240433
wellbore_chev_no_14_842,wellbore_chev_no_14,area_1,formation_125,bit_model_32,14.5,25260,25289.5,32.82810851,160.7418725
wellbore_chev_no_14_843,wellbore_chev_no_14,area_1,formation_125,bit_model_32,14.5,25290,25319.5,30.75463489,160.7349698
wellbore_chev_no_14_844,wellbore_chev_no_14,area_1,formation_32,bit_model_32,14.5,25320,25349.5,34.74926251,160.7348704
wellbore_chev_no_14_845,wellbore_chev_no_14,area_1,formation_32,bit_model_32,14.5,25350,25379.5,34.01628688,158.8524529
wellbore_chev_no_14_846,wellbore_chev_no_14,area_1,formation_32,bit_model_32,14.5,25380,25409.5,18.87038611,159.6939863
wellbore_chev_no_14_847,wellbore_chev_no_14,area_1,formation_115,bit_model_32,14.5,25410,25439.5,22.32378455,160.7335371
wellbore_chev_no_14_848,wellbore_chev_no_14,area_1,formation_115,bit_model_32,14.5,25440,25469.5,22.37698909,160.7459048
wellbore_chev_no_14_849,wellbore_chev_no_14,area_1,formation_115,bit_model_32,14.5,25470,25499.5,24.62598778,160.7349665
wellbore_chev_no_14_850,wellbore_chev_no_14,area_1,formation_115,bit_model_32,14.5,25500,25529.5,29.50745792,160.7322367
wellbore_chev_no_14_851,wellbore_chev_no_14,area_1,formation_193,bit_model_32,14.5,25530,25559.5,28.57352103,160.7563996
wellbore_chev_no_14_852,wellbore_chev_no_14,area_1,formation_193,bit_model_32,14.5,25560,25589.5,29.77658694,159.72492
wellbore_chev_no_14_853,wellbore_chev_no_14,area_1,formation_193,bit_model_32,14.5,25590,25619.5,22.15949965,146.0183292
wellbore_chev_no_14_854,wellbore_chev_no_14,area_1,formation_193,bit_model_29,12.25,25620,25649.5,40.20719341,80.40844817
wellbore_chev_no_14_855,wellbore_chev_no_14,area_1,formation_193,bit_model_29,12.25,25650,25679.5,36.05959419,89.30601476
wellbore_chev_no_14_856,wellbore_chev_no_14,area_1,formation_193,bit_model_29,12.25,25680,25709.5,40.46643257,178.6885094
wellbore_chev_no_14_857,wellbore_chev_no_14,area_1,formation_193,bit_model_29,12.25,25710,25739.5,42.8792956,180.0628263
wellbore_chev_no_14_858,wellbore_chev_no_14,area_1,formation_193,bit_model_29,12.25,25740,25769.5,42.29756047,180.0792175
wellbore_chev_no_14_859,wellbore_chev_no_14,area_1,formation_193,bit_model_29,12.25,25770,25799.5,42.98688113,180.0901438
wellbore_chev_no_14_860,wellbore_chev_no_14,area_1,formation_194,bit_model_29,12.25,25800,25829.5,39.5525706,179.7404231
wellbore_chev_no_14_861,wellbore_chev_no_14,area_1,formation_194,bit_model_29,12.25,25830,25859.5,42.08441267,160.7295049
wellbore_chev_no_14_862,wellbore_chev_no_14,area_1,formation_194,bit_model_29,12.25,25860,25889.5,41.20755199,160.7267733
wellbore_chev_no_14_863,wellbore_chev_no_14,area_1,formation_194,bit_model_29,12.25,25890,25919.5,40.178606,176.8606397
wellbore_chev_no_14_864,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,25920,25949.5,46.79534365,180.0737544
wellbore_chev_no_14_865,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,25950,25979.5,46.18136603,180.1102106
wellbore_chev_no_14_866,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,25980,26009.5,46.46394194,180.0776399
wellbore_chev_no_14_867,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,26010,26039.5,45.22847667,180.0694487
wellbore_chev_no_14_868,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,26040,26069.5,47.43140017,180.0777805
wellbore_chev_no_14_869,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,26070,26099.5,47.61802521,180.1092649
wellbore_chev_no_14_870,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,26100,26129.5,46.59565425,180.0972293
wellbore_chev_no_14_871,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,26130,26159.5,46.14042311,180.076486
wellbore_chev_no_14_872,wellbore_chev_no_14,area_1,formation_195,bit_model_29,12.25,26160,26189.5,46.85618521,180.0901456
wellbore_chev_no_14_873,wellbore_chev_no_14,area_1,formation_43,bit_model_29,12.25,26190,26219.5,46.82426516,180.0874123
wellbore_chev_no_14_874,wellbore_chev_no_14,area_1,formation_43,bit_model_29,12.25,26220,26249.5,46.83502998,180.0901456
wellbore_chev_no_14_875,wellbore_chev_no_14,area_1,formation_43,bit_model_29,12.25,26250,26279.5,45.35693779,180.0737597
wellbore_chev_no_14_876,wellbore_chev_no_14,area_1,formation_44,bit_model_29,12.25,26280,26309.5,46.33921096,180.1010737
wellbore_chev_no_14_877,wellbore_chev_no_14,area_1,formation_44,bit_model_29,12.25,26310,26339.5,46.81994718,180.0983386
wellbore_chev_no_14_878,wellbore_chev_no_14,area_1,formation_45,bit_model_29,12.25,26340,26369.5,46.63436216,180.071021
wellbore_chev_no_14_879,wellbore_chev_no_14,area_1,formation_45,bit_model_29,12.25,26370,26399.5,46.01845563,180.0655596
wellbore_chev_no_14_880,wellbore_chev_no_14,area_1,formation_45,bit_model_29,12.25,26400,26429.5,41.67621935,180.8592411
wellbore_chev_no_14_881,wellbore_chev_no_14,area_1,formation_186,bit_model_29,12.25,26430,26459.5,47.65834001,180.1038053
wellbore_chev_no_14_882,wellbore_chev_no_14,area_1,formation_46,bit_model_29,12.25,26460,26489.5,47.05606101,179.4207565
wellbore_chev_no_14_883,wellbore_chev_no_14,area_1,formation_46,bit_model_29,12.25,26490,26519.5,47.67752787,179.8988909
wellbore_chev_no_14_884,wellbore_chev_no_14,area_1,formation_46,bit_model_29,12.25,26520,26549.5,46.51204224,180.0600962
wellbore_chev_no_14_885,wellbore_chev_no_14,area_1,formation_47,bit_model_29,12.25,26550,26579.5,44.45593243,174.8141935
wellbore_chev_no_14_886,wellbore_chev_no_14,area_1,formation_47,bit_model_29,12.25,26580,26609.5,45.8494161,180.0655614
wellbore_chev_no_14_887,wellbore_chev_no_14,area_1,formation_47,bit_model_29,12.25,26610,26639.5,38.97695538,163.0119432
wellbore_chev_no_14_888,wellbore_chev_no_14,area_1,formation_37,bit_model_29,12.25,26640,26669.5,42.2037618,160.7540965
wellbore_chev_no_14_889,wellbore_chev_no_14,area_1,formation_37,bit_model_29,12.25,26670,26699.5,35.98417679,160.0218534
